Project Name,Image 1,Image 2,Creative Direction
Eyewear,wang_4.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778688000000/kP7o-aKglz9JTdK5A5r50g/_q-_-bkMLvXGkgQKs0WHm8VvZcSetCYD3ktlR9s4ud_lQfO_kyHYpfd5ZkAv_wDEHBJnmovno6IS0KgIz8hpAutnORpI_8aMPXPmvdIO7F_Ro9eZ4BHS5UiRAajuYfOzGlZD2Ofb-fY9pBOvJDys2soE-fp_JctHNTxBe79gteQ/mOsNm-5w32IVyqZ6GlJboYVPhw0k83hzCZCIVNusuh0),images.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778688000000/eopKgSELtaTzTxSIml728g/4pIjbay2l9IbVKIO4KFmvueQ2gtIUDFGih1GiIND8CrjhWUZBdybbXEOsSLm9_FGU5BGHgt63UT6c9ykxjCGdqMCDuNLTYTj-_rQsd4uIFuVt_zvESK1_chN4W63CeFHuLuPaADhDCzqKJHwpmlBZxwGsuUBEYoLJTu4p36KtxQ/lGuzjLKP8Kl_ZEYuoBAVgeb6vARNoIMU6Mw4-BEjmQU),"1 scene - Luxurious Macro Product Shot with the eyewear set a metallic platform
"
Sneakers,0dfa66e56f26bcd6ecb902d0d32ae98094a145c7.png (https://v5.airtableusercontent.com/v3/u/53/53/1778688000000/lm5oWduYnAJu1QeYeIb7xw/91gmKQO3lUjDLSZA9JoSth3p7S2cOul-phDgOUc24eqaIE_IROTiSYzJy1Mlg5KCnguIcLTv0El546beLTvFWlSn1PcgdbZB_1N2HAJo7Ii_8lNoiOmFpUcI20kjqtZauS922V4JX0B73kA32QertTEyBYneCfgRIuS5bALgR0xn1uAoPr_0Uvz0i0eUpZS1xKLPNvXT7aNG94zcHdWDQA/KTIHn5M4FqBppdrmoycoUX7pT8q6rJ5gsLFwdLS4ig8),e8b9ba57200ad88b21e3996e3174dc0900c766d8.png (https://v5.airtableusercontent.com/v3/u/53/53/1778688000000/t1BjwY2ZaQRH75rbRSpxRQ/bsaXZ5x_ONgixyLLWaMtS5DfCzZtPxO-ZU3yW0KWaxqO3Hygp0O-yNrx6ARcwxTOBip33Wg_S1MX4poJdwKnlUEjT55Vf2KWI9fwrxJFSpS548XvhCiZbUC8t0EYEJg7fByTBXhe0pA5f0UyE5XJ0kWRxzVN0k9s2aVWT_fp6vKeZy0QV2FojOajo3bXFx2u5I_X2TA0776jeCg5k3cMDQ/jIFsCNaOkZ8a2v5ZgHjkKQEnaEy7rSaEImOKK8eCIds),1 scene - Sporty Macro sneaker product shot showing the details of the fabric
Candle,australian-blue-cypress-jasmine-candle-10-ivyandwood.webp (https://v5.airtableusercontent.com/v3/u/53/53/1778688000000/NnU0-w8BQaR5X8AwuWNjsg/sshLQCqmc7r126jRHL0Ack4KlgmMmoPpG1LYymQt8vDbcK5ErjalSuLkvCH0DGLFij0SHfQPo9Qt6IAap2UWCAPmMwfRFYzdRZcVjcoEkRaX4hqg5AUfPH_LVnm1e8fKomY26JPRWNFB3Mg911TPztzxj0ncrODt31e5iIw6lCuoo4jsJMuMP_8xKIBJjg1HF0DAwExENFNADpg4-YVOoA/oXDzHiWhFxzKTsFz1cbIpLi9iaE9bxQJzK1_PhS4LAA),australian-blue-cypress-jasmine-candle-10-ivyandwood.webp (https://v5.airtableusercontent.com/v3/u/53/53/1778688000000/FUIxW6bthrFIsxQ3kIIgug/ujrofdS-UQ__B5Nu_mLs9fgTHrc7BuAoFNz-1BOZ-4B_tM0WYdM0mCCSeoBP2v8OfIdoHDtG7ecIR3JVgq_tbuPVrDjOk1eTBhPwdmBgx9g386BqUX5fEskY4iWsr-CH7kPqKgYe5QYnFD7cgxqqPMU1xi4uNYoB_16c1F35fsd3URPSSzpg_Z4RgwCPvzoK5IieiY6PFMG7p6Asa0RlWg/Lv7eduO3iDf5LDM1a0jEAhfYHDafVAA2xKKeTkqWmnM),"1 scene - Feminine Moody Candle Product Shot
Soft flame glow with gentle shadows on the jar surface. Macro focus on wax, label"
Book,Midori-Daily-Journal-23_1000x.webp (https://v5.airtableusercontent.com/v3/u/53/53/1778688000000/nh-b2bSUxWazFAg-GnWB0A/SKw05bjnSjr4w0m1D41aowL5vH-l3qlQ8oFrKcXfSf4umTHrcT8g0RCllMKZl7v8CUdOoFWGBwNjrDTeEDvG8CjxJjISuDvstUzixYjfNK4FsYs_u7nRBJejymypPXIq9X4wE-0LJ3dX1uMNMg5sEhF3Qj2FFWVb7rpyxsGH6D8-8LRcbxSus2GkKNRff96h/fOxZGcqKYP1DncpYEqy8Eo7Caif_6GwOoo9jrxFTWiY),Screenshot 2025-12-11 092827.png (https://v5.airtableusercontent.com/v3/u/53/53/1778688000000/ce7ip7RD2RHHVVD5aQUDOw/m9uv3RXAT19odMTv8gDNzWPJLFEpyXvek85b4CVuUxMreYFdLluEo5MDr_qi8BhSyLaFheonD3iAxZy5BNEPLTwsbedw65OqrZJuOY7w1NDae-ccJG-_wz7FIVfPRh7VdyAESN_nbBozeWVib09niYrO5l3MUHvdIqw1h2if6jZsYWVy9UxVHBwSXK6sLxiY/0JgyKstI-bR_t7hZrgcPi_4BUNJgteaLr6T_jF92ba4),"1 scene - Japanese Themed Macro Journal Shot
Slow macro sweeps reveal the textured cover, soft gold emboss, and clean Japanese design motifs. Pages lift slightly as if touched by a gentle breeze, settling back into a calm still frame."
Watch,DMV01G2.webp (https://v5.airtableusercontent.com/v3/u/53/53/1778688000000/M3tWw_C1adUqa6qfLt2_Lg/k_XQ8vXLoKr-dVF9n_BIQPunsz0a5zAjJQB80SKRRlYyhO-0vDSk6zdaXoQoRk8v5N3npDPZ9kaB6bkhAPMrLBQZ_sJlYeEq5d9GLeHdeP9oADr6DDMQRbvKSYZSieEpB48trN8XDF_uNiElHso-Rnfcc8BoxS04Vfzy557f6tE/UmIDzL-BpLLIu7yl7lXXshTmW9VSpfC2UMHRnIAUaoE),DMV01G2.webp (https://v5.airtableusercontent.com/v3/u/53/53/1778688000000/4uiDSyNMW5_fQafxCgT4jg/t0FA4KFTC6epma9myyi9wFY8OWbi6rkFD9uwyRGpTDl06RPY8v6CQylgdzmvBUFp8unWCIUjXFFCMVJcFU8W5AmP3xbM2cUQXnU8sftEkDB0NU07cLDX492Qg05Iask4SvhqWH3WXJmf7jAxf4guKRcRsV96ivzecMqR-hfqxo4/YoMkcaLacIecBQShBNB_fnRq5YALPuVmguKUBS2htEA),1 scene - Luxurious Macro Product Shot. dark background
Keyboard,design-medium.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778688000000/c3JO6srwVrEUDWCXfHk6Yw/OJCC3uwd_hgYsNa2R66ZQernDaEHddtQl8YM33Cw9fR8QOjZN9ZUEjdH9j4Ds_x20Q8Swvhmef5IHwAwnbF_yx_3GkBiIZWfYg8o4ecRo6ngGyvvwVpAu0fwvVuWnEBFgbE0LcsbIf3vpbo9gLuZnCa6JmeswQqhSIh2t6DkG5I/kgP2S75yVIjEtmf-zXDYK9WekqbiMa513h8i99YpIao),Full-Keychron-Q1-Pro-Keyboard.webp (https://v5.airtableusercontent.com/v3/u/53/53/1778688000000/txjXePaa8pB23lllMQA5Xg/dKt_Hlb_0QrbPjZIyUhIUX41c1uy6SibB-Z5cOPP5jtK0855HRGhpmAXY2CEd83D7mRYKsSyXBlj5mcnV4AFqg4G-vEi6ZEoA9rcURYWkImlwaYmnml-TjNmyWRR45P9u83Z02Rcb9N4x6t9Tsi4yEL6jRcv0KpaEJqkuq_xSrbWzKLobKpGERnl8PF4TNGA/lRgIYOofYjMM1evALzCU7VaBXsM6VGb3WApOQ8YWtvk),"1 scene - Dynamic Keyboard Reconstruction Shot
The keyboard lifts to the air and breaks apart in slow motion to show what's inside. Pieces glide back together with smooth magnetic motion, forming the final keyboard"
(Your Project Here),,,
